"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Ontario",35068,"Niagara West",35055,"Niagara West - Glanbrook"
"Ontario",35068,"Niagara West",35076,"St. Catharines"
"Ontario",35068,"Niagara West",35097,"Welland"
"Ontario",35069,"Nickel Belt",35056,"Nickel Belt"
"Ontario",35070,"Nipissing--Timiskaming",35056,"Nickel Belt"
"Ontario",35070,"Nipissing--Timiskaming",35057,"Nipissing - Timiskaming"
"Ontario",35071,"Northumberland--Peterborough South",35014,"Durham"
"Ontario",35071,"Northumberland--Peterborough South",35058,"Northumberland - Quinte West"
"Ontario",35071,"Northumberland--Peterborough South",35071,"Peterborough"
"Ontario",35072,"Oakville",35060,"Oakville"
"Ontario",35073,"Oakville North--Burlington",35030,"Halton"
"Ontario",35074,"Oshawa",35061,"Oshawa"
"Ontario",35074,"Oshawa",35099,"Whitby - Oshawa"
"Ontario",35075,"Ottawa Centre",35062,"Ottawa Centre"
"Ontario",35076,"Orléans",35025,"Glengarry - Prescott - Russell"
"Ontario",35076,"Orléans",35052,"Nepean - Carleton"
"Ontario",35076,"Orléans",35063,"Ottawa - Orléans"
"Ontario",35077,"Ottawa South",35064,"Ottawa South"
"Ontario",35078,"Ottawa--Vanier",35063,"Ottawa - Orléans"
"Ontario",35078,"Ottawa--Vanier",35065,"Ottawa - Vanier"
"Ontario",35079,"Ottawa West--Nepean",35062,"Ottawa Centre"
"Ontario",35079,"Ottawa West--Nepean",35066,"Ottawa West - Nepean"
"Ontario",35080,"Oxford",35009,"Brant"
"Ontario",35080,"Oxford",35067,"Oxford"
"Ontario",35081,"Parkdale--High Park",35068,"Parkdale - High Park"
"Ontario",35082,"Parry Sound--Muskoka",35069,"Parry Sound - Muskoka"
"Ontario",35083,"Perth--Wellington",35070,"Perth - Wellington"
"Ontario",35084,"Peterborough--Kawartha",35029,"Haliburton - Kawartha Lakes - Brock"
"Ontario",35084,"Peterborough--Kawartha",35071,"Peterborough"
"Ontario",35085,"Pickering--Uxbridge",35001,"Ajax - Pickering"
"Ontario",35085,"Pickering--Uxbridge",35014,"Durham"
"Ontario",35085,"Pickering--Uxbridge",35072,"Pickering - Scarborough East"
"Ontario",35086,"Renfrew--Nipissing--Pembroke",35074,"Renfrew - Nipissing - Pembroke"
"Ontario",35087,"Richmond Hill",35075,"Richmond Hill"
"Ontario",35087,"Richmond Hill",35089,"Thornhill"
"Ontario",35088,"Carleton",35012,"Carleton - Mississippi Mills"
"Ontario",35088,"Carleton",35052,"Nepean - Carleton"
"Ontario",35088,"Carleton",35064,"Ottawa South"
"Ontario",35089,"St. Catharines",35076,"St. Catharines"
"Ontario",35090,"Toronto--St. Paul's",35015,"Davenport"
"Ontario",35090,"Toronto--St. Paul's",35077,"St. Paul's"
"Ontario",35091,"Sarnia--Lambton",35078,"Sarnia - Lambton"
"Ontario",35092,"Sault Ste. Marie",35079,"Sault Ste. Marie"
"Ontario",35093,"Scarborough--Agincourt",35080,"Scarborough - Agincourt"
"Ontario",35094,"Scarborough Centre",35081,"Scarborough Centre"
"Ontario",35094,"Scarborough Centre",35084,"Scarborough Southwest"
"Ontario",35095,"Scarborough--Guildwood",35081,"Scarborough Centre"
"Ontario",35095,"Scarborough--Guildwood",35082,"Scarborough - Guildwood"
"Ontario",35096,"Scarborough North",35080,"Scarborough - Agincourt"
"Ontario",35096,"Scarborough North",35083,"Scarborough - Rouge River"
"Ontario",35097,"Scarborough--Rouge Park",35072,"Pickering - Scarborough East"
"Ontario",35097,"Scarborough--Rouge Park",35082,"Scarborough - Guildwood"
"Ontario",35097,"Scarborough--Rouge Park",35083,"Scarborough - Rouge River"
"Ontario",35098,"Scarborough Southwest",35082,"Scarborough - Guildwood"
"Ontario",35098,"Scarborough Southwest",35084,"Scarborough Southwest"
"Ontario",35099,"Simcoe--Grey",35085,"Simcoe - Grey"
"Ontario",35100,"Simcoe North",35086,"Simcoe North"
"Ontario",35101,"Spadina--Fort York",35093,"Toronto Centre"
"Ontario",35101,"Spadina--Fort York",35095,"Trinity - Spadina"
"Ontario",35102,"Stormont--Dundas--South Glengarry",35087,"Stormont - Dundas - South Glengarry"
"Ontario",35103,"Sudbury",35088,"Sudbury"
"Ontario",35104,"Thornhill",35089,"Thornhill"
"Ontario",35104,"Thornhill",35103,"York Centre"
"Ontario",35105,"Thunder Bay--Rainy River",35090,"Thunder Bay - Rainy River"
"Ontario",35105,"Thunder Bay--Rainy River",35091,"Thunder Bay - Superior North"
"Ontario",35106,"Thunder Bay--Superior North",35002,"Algoma - Manitoulin - Kapuskasing"
"Ontario",35106,"Thunder Bay--Superior North",35091,"Thunder Bay - Superior North"
"Ontario",35107,"Timmins--James Bay",35057,"Nipissing - Timiskaming"
"Ontario",35107,"Timmins--James Bay",35092,"Timmins - James Bay"
"Ontario",35108,"Toronto Centre",35093,"Toronto Centre"
"Ontario",35108,"Toronto Centre",35095,"Trinity - Spadina"
"Ontario",35109,"Toronto--Danforth",35094,"Toronto - Danforth"
"Ontario",35110,"University--Rosedale",35093,"Toronto Centre"
"Ontario",35110,"University--Rosedale",35095,"Trinity - Spadina"
"Ontario",35111,"Vaughan--Woodbridge",35096,"Vaughan"
"Ontario",35112,"Waterloo",35039,"Kitchener - Waterloo"
"Ontario",35113,"Wellington--Halton Hills",35098,"Wellington - Halton Hills"
"Ontario",35114,"Whitby",35099,"Whitby - Oshawa"
"Ontario",35115,"Willowdale",35089,"Thornhill"
"Ontario",35115,"Willowdale",35100,"Willowdale"
"Ontario",35115,"Willowdale",35103,"York Centre"
"Ontario",35116,"Windsor--Tecumseh",35101,"Windsor - Tecumseh"
"Ontario",35117,"Windsor West",35102,"Windsor West"
"Ontario",35118,"York Centre",35103,"York Centre"
"Ontario",35119,"York--Simcoe",35104,"York - Simcoe"
"Ontario",35120,"York South--Weston",35105,"York South - Weston"
"Ontario",35121,"Humber River--Black Creek",35106,"York West"
"Manitoba",46001,"Brandon--Souris",46001,"Brandon - Souris"
"Manitoba",46001,"Brandon--Souris",46007,"Portage - Lisgar"
"Manitoba",46002,"Charleswood--St. James--Assiniboia--Headingley",46002,"Charleswood - St. James - Assiniboia"
"Manitoba",46003,"Churchill--Keewatinook Aski",46003,"Churchill"
"Manitoba",46003,"Churchill--Keewatinook Aski",46008,"Provencher"
"Manitoba",46003,"Churchill--Keewatinook Aski",46010,"Selkirk - Interlake"
"Manitoba",46004,"Dauphin--Swan River--Neepawa",46001,"Brandon - Souris"
"Manitoba",46004,"Dauphin--Swan River--Neepawa",46004,"Dauphin - Swan River - Marquette"
"Manitoba",46004,"Dauphin--Swan River--Neepawa",46007,"Portage - Lisgar"
"Manitoba",46005,"Elmwood--Transcona",46005,"Elmwood - Transcona"
"Manitoba",46005,"Elmwood--Transcona",46006,"Kildonan - St. Paul"
"Manitoba",46005,"Elmwood--Transcona",46009,"Saint Boniface"
"Manitoba",46006,"Kildonan--St. Paul",46006,"Kildonan - St. Paul"
"Manitoba",46007,"Portage--Lisgar",46007,"Portage - Lisgar"
"Manitoba",46007,"Portage--Lisgar",46008,"Provencher"
"Manitoba",46007,"Portage--Lisgar",46010,"Selkirk - Interlake"
"Manitoba",46008,"Provencher",46008,"Provencher"
"Manitoba",46008,"Provencher",46010,"Selkirk - Interlake"
"Manitoba",46009,"Saint Boniface--Saint Vital",46005,"Elmwood - Transcona"
"Manitoba",46009,"Saint Boniface--Saint Vital",46009,"Saint Boniface"
"Manitoba",46009,"Saint Boniface--Saint Vital",46013,"Winnipeg South"
"Manitoba",46010,"Selkirk--Interlake--Eastman",46008,"Provencher"
"Manitoba",46010,"Selkirk--Interlake--Eastman",46010,"Selkirk - Interlake"
"Manitoba",46011,"Winnipeg Centre",46011,"Winnipeg Centre"
"Manitoba",46012,"Winnipeg North",46006,"Kildonan - St. Paul"
"Manitoba",46012,"Winnipeg North",46012,"Winnipeg North"
"Manitoba",46013,"Winnipeg South",46009,"Saint Boniface"
"Manitoba",46013,"Winnipeg South",46013,"Winnipeg South"
"Manitoba",46014,"Winnipeg South Centre",46013,"Winnipeg South"
"Manitoba",46014,"Winnipeg South Centre",46014,"Winnipeg South Centre"
"Saskatchewan",47001,"Battlefords--Lloydminster",47001,"Battlefords - Lloydminster"
"Saskatchewan",47001,"Battlefords--Lloydminster",47010,"Saskatoon - Rosetown - Biggar"
"Saskatchewan",47002,"Cypress Hills--Grasslands",47001,"Battlefords - Lloydminster"
"Saskatchewan",47002,"Cypress Hills--Grasslands",47004,"Cypress Hills - Grasslands"
"Saskatchewan",47002,"Cypress Hills--Grasslands",47005,"Palliser"
"Saskatchewan",47003,"Desnethé--Missinippi--Churchill River",47003,"Desnethé - Missinippi - Churchill River"
"Saskatchewan",47003,"Desnethé--Missinippi--Churchill River",47006,"Prince Albert"
"Saskatchewan",47004,"Carlton Trail--Eagle Creek",47004,"Cypress Hills - Grasslands"
"Saskatchewan",47004,"Carlton Trail--Eagle Creek",47009,"Saskatoon - Humboldt"
"Saskatchewan",47004,"Carlton Trail--Eagle Creek",47010,"Saskatoon - Rosetown - Biggar"
"Saskatchewan",47004,"Carlton Trail--Eagle Creek",47011,"Saskatoon - Wanuskewin"
"Saskatchewan",47005,"Moose Jaw--Lake Centre--Lanigan",47002,"Blackstrap"
"Saskatchewan",47005,"Moose Jaw--Lake Centre--Lanigan",47005,"Palliser"
"Saskatchewan",47005,"Moose Jaw--Lake Centre--Lanigan",47007,"Regina - Lumsden - Lake Centre"
"Saskatchewan",47005,"Moose Jaw--Lake Centre--Lanigan",47009,"Saskatoon - Humboldt"
"Saskatchewan",47005,"Moose Jaw--Lake Centre--Lanigan",47012,"Souris - Moose Mountain"
"Saskatchewan",47005,"Moose Jaw--Lake Centre--Lanigan",47013,"Wascana"
"Saskatchewan",47006,"Prince Albert",47003,"Desnethé - Missinippi - Churchill River"
"Saskatchewan",47006,"Prince Albert",47006,"Prince Albert"
"Saskatchewan",47006,"Prince Albert",47009,"Saskatoon - Humboldt"
"Saskatchewan",47006,"Prince Albert",47011,"Saskatoon - Wanuskewin"
"Saskatchewan",47007,"Regina--Lewvan",47005,"Palliser"
"Saskatchewan",47007,"Regina--Lewvan",47007,"Regina - Lumsden - Lake Centre"
"Saskatchewan",47008,"Regina--Qu'Appelle",47002,"Blackstrap"
"Saskatchewan",47008,"Regina--Qu'Appelle",47005,"Palliser"
"Saskatchewan",47008,"Regina--Qu'Appelle",47007,"Regina - Lumsden - Lake Centre"
"Saskatchewan",47008,"Regina--Qu'Appelle",47008,"Regina - Qu'Appelle"
"Saskatchewan",47008,"Regina--Qu'Appelle",47014,"Yorkton - Melville"
"Saskatchewan",47009,"Regina--Wascana",47013,"Wascana"
"Saskatchewan",47010,"Saskatoon--Grasswood",47002,"Blackstrap"
"Saskatchewan",47010,"Saskatoon--Grasswood",47009,"Saskatoon - Humboldt"
"Saskatchewan",47011,"Saskatoon--University",47009,"Saskatoon - Humboldt"
"Saskatchewan",47011,"Saskatoon--University",47011,"Saskatoon - Wanuskewin"
"Saskatchewan",47012,"Saskatoon West",47010,"Saskatoon - Rosetown - Biggar"
"Saskatchewan",47012,"Saskatoon West",47011,"Saskatoon - Wanuskewin"
"Saskatchewan",47013,"Souris--Moose Mountain",47012,"Souris - Moose Mountain"
"Saskatchewan",47013,"Souris--Moose Mountain",47013,"Wascana"
"Saskatchewan",47013,"Souris--Moose Mountain",47014,"Yorkton - Melville"
"Saskatchewan",47014,"Yorkton--Melville",47003,"Desnethé - Missinippi - Churchill River"
"Saskatchewan",47014,"Yorkton--Melville",47009,"Saskatoon - Humboldt"
"Saskatchewan",47014,"Yorkton--Melville",47014,"Yorkton - Melville"
"Alberta",48001,"Banff--Airdrie",48020,"Macleod"
"Alberta",48001,"Banff--Airdrie",48027,"Wild Rose"
"Alberta",48002,"Battle River--Crowfoot",48010,"Crowfoot"
"Alberta",48002,"Battle River--Crowfoot",48021,"Medicine Hat"
"Alberta",48002,"Battle River--Crowfoot",48024,"Vegreville - Wainwright"
"Alberta",48002,"Battle River--Crowfoot",48026,"Wetaskiwin"
"Alberta",48003,"Bow River",48010,"Crowfoot"
"Alberta",48003,"Bow River",48020,"Macleod"
"Alberta",48003,"Bow River",48021,"Medicine Hat"
"Alberta",48004,"Calgary Centre",48002,"Calgary East"
"Alberta",48004,"Calgary Centre",48006,"Calgary Centre"
"Alberta",48005,"Calgary Confederation",48003,"Calgary Centre-North"
"Alberta",48005,"Calgary Confederation",48005,"Calgary - Nose Hill"
"Alberta",48005,"Calgary Confederation",48009,"Calgary West"
"Alberta",48006,"Calgary Forest Lawn",48002,"Calgary East"
"Alberta",48006,"Calgary Forest Lawn",48004,"Calgary Northeast"
"Alberta",48006,"Calgary Forest Lawn",48010,"Crowfoot"
"Alberta",48007,"Calgary Heritage",48007,"Calgary Southeast"
"Alberta",48007,"Calgary Heritage",48008,"Calgary Southwest"
"Alberta",48008,"Calgary Midnapore",48002,"Calgary East"
"Alberta",48008,"Calgary Midnapore",48007,"Calgary Southeast"
"Alberta",48008,"Calgary Midnapore",48008,"Calgary Southwest"
"Alberta",48008,"Calgary Midnapore",48020,"Macleod"
"Alberta",48009,"Calgary Nose Hill",48003,"Calgary Centre-North"
"Alberta",48009,"Calgary Nose Hill",48005,"Calgary - Nose Hill"
"Alberta",48009,"Calgary Nose Hill",48027,"Wild Rose"
"Alberta",48010,"Calgary Rocky Ridge",48005,"Calgary - Nose Hill"
"Alberta",48010,"Calgary Rocky Ridge",48009,"Calgary West"
"Alberta",48010,"Calgary Rocky Ridge",48027,"Wild Rose"
"Alberta",48011,"Calgary Shepard",48002,"Calgary East"
"Alberta",48011,"Calgary Shepard",48007,"Calgary Southeast"
"Alberta",48011,"Calgary Shepard",48010,"Crowfoot"
"Alberta",48012,"Calgary Signal Hill",48006,"Calgary Centre"
"Alberta",48012,"Calgary Signal Hill",48009,"Calgary West"
"Alberta",48012,"Calgary Signal Hill",48020,"Macleod"
"Alberta",48013,"Calgary Skyview",48004,"Calgary Northeast"
"Alberta",48013,"Calgary Skyview",48027,"Wild Rose"
"Alberta",48014,"Edmonton Centre",48012,"Edmonton Centre"
"Alberta",48014,"Edmonton Centre",48017,"Edmonton - Spruce Grove"
"Alberta",48015,"Edmonton Griesbach",48013,"Edmonton East"
"Alberta",48015,"Edmonton Griesbach",48015,"Edmonton - St. Albert"
"Alberta",48016,"Edmonton Manning",48013,"Edmonton East"
"Alberta",48016,"Edmonton Manning",48015,"Edmonton - St. Albert"
"Alberta",48016,"Edmonton Manning",48016,"Edmonton - Sherwood Park"
"Alberta",48017,"Edmonton Mill Woods",48011,"Edmonton - Mill Woods - Beaumont"
"Alberta",48018,"Edmonton Riverbend",48014,"Edmonton - Leduc"
"Alberta",48019,"Edmonton Strathcona",48013,"Edmonton East"
"Alberta",48019,"Edmonton Strathcona",48018,"Edmonton - Strathcona"
"Alberta",48020,"Edmonton West",48012,"Edmonton Centre"
"Alberta",48020,"Edmonton West",48017,"Edmonton - Spruce Grove"
"Alberta",48021,"Edmonton--Wetaskiwin",48011,"Edmonton - Mill Woods - Beaumont"
"Alberta",48021,"Edmonton--Wetaskiwin",48014,"Edmonton - Leduc"
"Alberta",48021,"Edmonton--Wetaskiwin",48024,"Vegreville - Wainwright"
"Alberta",48021,"Edmonton--Wetaskiwin",48026,"Wetaskiwin"
"Alberta",48022,"Foothills",48008,"Calgary Southwest"
"Alberta",48022,"Foothills",48019,"Lethbridge"
"Alberta",48022,"Foothills",48020,"Macleod"
"Alberta",48023,"Fort McMurray--Cold Lake",48001,"Fort McMurray - Athabasca"
"Alberta",48023,"Fort McMurray--Cold Lake",48025,"Westlock - St. Paul"
"Alberta",48024,"Grande Prairie--Mackenzie",48022,"Peace River"
"Alberta",48025,"Lakeland",48001,"Fort McMurray - Athabasca"
"Alberta",48025,"Lakeland",48024,"Vegreville - Wainwright"
"Alberta",48025,"Lakeland",48025,"Westlock - St. Paul"
"Alberta",48026,"Lethbridge",48019,"Lethbridge"
"Alberta",48027,"Medicine Hat--Cardston--Warner",48019,"Lethbridge"
"Alberta",48027,"Medicine Hat--Cardston--Warner",48020,"Macleod"
"Alberta",48027,"Medicine Hat--Cardston--Warner",48021,"Medicine Hat"
"Alberta",48028,"Peace River--Westlock",48001,"Fort McMurray - Athabasca"
"Alberta",48028,"Peace River--Westlock",48022,"Peace River"
"Alberta",48028,"Peace River--Westlock",48025,"Westlock - St. Paul"
"Alberta",48028,"Peace River--Westlock",48028,"Yellowhead"
"Alberta",48029,"Red Deer--Mountain View",48010,"Crowfoot"
"Alberta",48029,"Red Deer--Mountain View",48023,"Red Deer"
"Alberta",48029,"Red Deer--Mountain View",48027,"Wild Rose"
"Alberta",48030,"Red Deer--Lacombe",48023,"Red Deer"
"Alberta",48030,"Red Deer--Lacombe",48026,"Wetaskiwin"
"Alberta",48031,"St. Albert--Edmonton",48015,"Edmonton - St. Albert"
"Alberta",48031,"St. Albert--Edmonton",48025,"Westlock - St. Paul"
"Alberta",48032,"Sherwood Park--Fort Saskatchewan",48016,"Edmonton - Sherwood Park"
"Alberta",48032,"Sherwood Park--Fort Saskatchewan",48024,"Vegreville - Wainwright"
"Alberta",48033,"Sturgeon River--Parkland",48017,"Edmonton - Spruce Grove"
"Alberta",48033,"Sturgeon River--Parkland",48025,"Westlock - St. Paul"
"Alberta",48033,"Sturgeon River--Parkland",48028,"Yellowhead"
"Alberta",48034,"Yellowhead",48026,"Wetaskiwin"
"Alberta",48034,"Yellowhead",48027,"Wild Rose"
"Alberta",48034,"Yellowhead",48028,"Yellowhead"
"British Columbia",59001,"Abbotsford",59001,"Abbotsford"
"British Columbia",59002,"Burnaby North--Seymour",59002,"Burnaby - Douglas"
"British Columbia",59002,"Burnaby North--Seymour",59019,"North Vancouver"
"British Columbia",59003,"Burnaby South",59002,"Burnaby - Douglas"
"British Columbia",59003,"Burnaby South",59003,"Burnaby - New Westminster"
"British Columbia",59004,"Cariboo--Prince George",59004,"Cariboo - Prince George"
"British Columbia",59005,"Central Okanagan--Similkameen--Nicola",59011,"Kelowna - Lake Country"
"British Columbia",59005,"Central Okanagan--Similkameen--Nicola",59020,"Okanagan - Coquihalla"
"British Columbia",59005,"Central Okanagan--Similkameen--Nicola",59026,"British Columbia Southern Interior"
"British Columbia",59006,"Chilliwack--Hope",59005,"Chilliwack - Fraser Canyon"
"British Columbia",59007,"Cloverdale--Langley City",59009,"Fleetwood - Port Kells"
"British Columbia",59007,"Cloverdale--Langley City",59013,"Langley"
"British Columbia",59007,"Cloverdale--Langley City",59027,"South Surrey - White Rock - Cloverdale"
"British Columbia",59008,"Coquitlam--Port Coquitlam",59021,"Port Moody - Westwood - Port Coquitlam"
"British Columbia",59009,"Courtenay--Alberni",59014,"Nanaimo - Alberni"
"British Columbia",59009,"Courtenay--Alberni",59031,"Vancouver Island North"
"British Columbia",59010,"Cowichan--Malahat--Langford",59008,"Esquimalt - Juan de Fuca"
"British Columbia",59010,"Cowichan--Malahat--Langford",59015,"Nanaimo - Cowichan"
"British Columbia",59011,"Delta",59006,"Delta - Richmond East"
"British Columbia",59011,"Delta",59016,"Newton - North Delta"
"British Columbia",59012,"Fleetwood--Port Kells",59009,"Fleetwood - Port Kells"
"British Columbia",59012,"Fleetwood--Port Kells",59028,"Surrey North"
"British Columbia",59013,"Kamloops--Thompson--Cariboo",59010,"Kamloops - Thompson - Cariboo"
"British Columbia",59014,"Kelowna--Lake Country",59011,"Kelowna - Lake Country"
"British Columbia",59015,"Kootenay--Columbia",59012,"Kootenay - Columbia"
"British Columbia",59015,"Kootenay--Columbia",59026,"British Columbia Southern Interior"
"British Columbia",59016,"Langley--Aldergrove",59001,"Abbotsford"
"British Columbia",59016,"Langley--Aldergrove",59013,"Langley"
"British Columbia",59017,"Mission--Matsqui--Fraser Canyon",59001,"Abbotsford"
"British Columbia",59017,"Mission--Matsqui--Fraser Canyon",59005,"Chilliwack - Fraser Canyon"
"British Columbia",59017,"Mission--Matsqui--Fraser Canyon",59007,"Pitt Meadows - Maple Ridge - Mission"
"British Columbia",59018,"Nanaimo--Ladysmith",59014,"Nanaimo - Alberni"
"British Columbia",59018,"Nanaimo--Ladysmith",59015,"Nanaimo - Cowichan"
"British Columbia",59019,"New Westminster--Burnaby",59003,"Burnaby - New Westminster"
"British Columbia",59019,"New Westminster--Burnaby",59017,"New Westminster - Coquitlam"
"British Columbia",59020,"North Okanagan--Shuswap",59012,"Kootenay - Columbia"
"British Columbia",59020,"North Okanagan--Shuswap",59018,"Okanagan - Shuswap"
"British Columbia",59021,"North Vancouver",59019,"North Vancouver"
"British Columbia",59021,"North Vancouver",59036,"West Vancouver - Sunshine Coast - Sea to Sky"
"British Columbia",59022,"Pitt Meadows--Maple Ridge",59007,"Pitt Meadows - Maple Ridge - Mission"
"British Columbia",59023,"Port Moody--Coquitlam",59017,"New Westminster - Coquitlam"
"British Columbia",59023,"Port Moody--Coquitlam",59021,"Port Moody - Westwood - Port Coquitlam"
"British Columbia",59024,"Prince George--Peace River--Northern Rockies",59010,"Kamloops - Thompson - Cariboo"
"British Columbia",59024,"Prince George--Peace River--Northern Rockies",59022,"Prince George - Peace River"
"British Columbia",59025,"Richmond Centre",59023,"Richmond"
"British Columbia",59026,"Esquimalt--Saanich--Sooke",59008,"Esquimalt - Juan de Fuca"
"British Columbia",59026,"Esquimalt--Saanich--Sooke",59024,"Saanich - Gulf Islands"
"British Columbia",59027,"Saanich--Gulf Islands",59024,"Saanich - Gulf Islands"
"British Columbia",59028,"Skeena--Bulkley Valley",59004,"Cariboo - Prince George"
"British Columbia",59028,"Skeena--Bulkley Valley",59025,"Skeena - Bulkley Valley"
"British Columbia",59029,"South Okanagan--West Kootenay",59012,"Kootenay - Columbia"
"British Columbia",59029,"South Okanagan--West Kootenay",59020,"Okanagan - Coquihalla"
"British Columbia",59029,"South Okanagan--West Kootenay",59026,"British Columbia Southern Interior"
"British Columbia",59030,"South Surrey--White Rock",59009,"Fleetwood - Port Kells"
"British Columbia",59030,"South Surrey--White Rock",59016,"Newton - North Delta"
"British Columbia",59030,"South Surrey--White Rock",59027,"South Surrey - White Rock - Cloverdale"
"British Columbia",59031,"Steveston--Richmond East",59006,"Delta - Richmond East"
"British Columbia",59031,"Steveston--Richmond East",59023,"Richmond"
"British Columbia",59032,"Surrey Centre",59028,"Surrey North"
"British Columbia",59033,"Surrey--Newton",59009,"Fleetwood - Port Kells"
"British Columbia",59033,"Surrey--Newton",59016,"Newton - North Delta"
"British Columbia",59033,"Surrey--Newton",59028,"Surrey North"
"British Columbia",59034,"Vancouver Centre",59029,"Vancouver Centre"
"British Columbia",59035,"Vancouver East",59030,"Vancouver East"
"British Columbia",59036,"Vancouver Granville",59029,"Vancouver Centre"
"British Columbia",59036,"Vancouver Granville",59032,"Vancouver Kingsway"
"British Columbia",59036,"Vancouver Granville",59033,"Vancouver Quadra"
"British Columbia",59036,"Vancouver Granville",59034,"Vancouver South"
"British Columbia",59037,"North Island--Powell River",59031,"Vancouver Island North"
"British Columbia",59037,"North Island--Powell River",59036,"West Vancouver - Sunshine Coast - Sea to Sky"
"British Columbia",59038,"Vancouver Kingsway",59032,"Vancouver Kingsway"
"British Columbia",59039,"Vancouver Quadra",59033,"Vancouver Quadra"
"British Columbia",59040,"Vancouver South",59032,"Vancouver Kingsway"
"British Columbia",59040,"Vancouver South",59034,"Vancouver South"
"British Columbia",59041,"Victoria",59035,"Victoria"
"British Columbia",59042,"West Vancouver--Sunshine Coast--Sea to Sky Country",59005,"Chilliwack - Fraser Canyon"
"British Columbia",59042,"West Vancouver--Sunshine Coast--Sea to Sky Country",59036,"West Vancouver - Sunshine Coast - Sea to Sky"
"Yukon",60001,"Yukon",60001,"Yukon"
"Northwest Territories",61001,"Northwest Territories",61001,"Western Arctic"
"Nunavut",62001,"Nunavut",62001,"Nunavut"

"'"
"Note:"
"*: 2003 FED to 2013 FED combinations with no votes from the 2011 general election are excluded"

